Case,Question,Predicted,Gold,Score
Case20,Q0,Whole Genome Sequencing (WGS),Whole Genome Sequencing (WGS),1
Case20,Q1,Not specified,Yes,0
Case20,Q2,Yes,No,0
Case20,Q3,Yes,No,0
Case20,Q4,Not specified,Yes,0
Case20,Q5,Not required,No,0
Case20,Q6,No,No,1
Case20,Q7,Yes,No,0
Case20,Q8,No,Yes,0
Case20,Q9,Not specified,Yes,0
Case20,Q10,No,Yes,0
Case20,Q11,Not specified,No,0
Case20,Q12,Not specified,No,0
Case20,Q13,Not specified,Yes,0
Case20,Q14,Not listed,Yes,0
Case20,Q15,No,No,1
Case20,Q16,Yes,No,0
Case20,TOTAL,Correct: 3,Incorrect: 14,Accuracy: 17.65%
