Provider,Filename,MD5,Link,Status
United Healthcare,genetic-molecular-lab.pdf,7b368e343a246ba9313588f1235e8a98,,LLM_ONLY
United Healthcare,genetic-testing-for-hereditary-cancer.pdf,20d674f42eec0fb750b124f181ea6795,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/medicaid-comm-plan/genetic-testing-for-hereditary-cancer.pdf,LLM_ONLY
United Healthcare,co-medicaid-prior-auth-genetic-test-prostate-cancer.pdf,43985d1ce6196e15daeffb6ce370ab7f,,LLM_ONLY
United Healthcare,ne-medicaid-prior-auth-genetic-molecular-testing.pdf,cd2319d017e026a00a65d691958d94e3,,LLM_ONLY
United Healthcare,changes-genetic-molecular-testing-coverage-pa-requirements.pdf,a805014aefc4c2fea36303f6bfcded46,,LLM_ONLY
United Healthcare,nicu-genetic-testing-program.pdf,6c01f3a850daf644943697f087b3f1f0,,LLM_ONLY
United Healthcare,prior-auth-requirement-update-genetic-molecular-codes.pdf,e84a87a252d0f22cbb0920f648725fd6,,LLM_ONLY
United Healthcare,prior-auth-non-invasive-prenatal.pdf,955671c476da2a830f13ed68296966cb,,LLM_ONLY
Aetna,0140.pdf,bf21dbc17e882efee5c1156857c57af7,,LLM_ONLY
Aetna,0227.pdf,c7797264ad83f447e701e00e0883497f,,LLM_ONLY
Aetna,0911.pdf,d611baf99726a2723ac8b6eab0ee82b8,,LLM_ONLY
Aetna,0715.pdf,cbddc715afdddd8e3bc7e042af88eef8,,LLM_ONLY
