Provider,Filename,MD5,Link,Status
United Healthcare,carrier-testing-for-genetic-diseases.pdf,e4ba24bf5062d995a93a2ef155437c1b,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/carrier-testing-for-genetic-diseases.pdf,MATCHED
United Healthcare,genetic-molecular-lab.pdf,a4abdd197d98f876a60f5ed93cc11708,,LLM_ONLY
United Healthcare,genetic-testing-for-hereditary-cancer.pdf,20d674f42eec0fb750b124f181ea6795,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/comm-medical-drug/genetic-testing-for-hereditary-cancer.pdf,LLM_ONLY
United Healthcare,co-medicaid-prior-auth-genetic-test-prostate-cancer.pdf,617c86184a849e7d01ab3e6b6afed7e8,,LLM_ONLY
United Healthcare,changes-genetic-molecular-testing-coverage-pa-requirements.pdf,6033a9091178755e1f5dc6649976994c,,LLM_ONLY
United Healthcare,nicu-genetic-testing-program.pdf,e5f6372d8f532675ad583ba00a95de25,,LLM_ONLY
United Healthcare,prior-auth-requirement-update-genetic-molecular-codes.pdf,e4a9de6db7f2155fb44bb971cf482041,,LLM_ONLY
United Healthcare,prior-auth-non-invasive-prenatal.pdf,0c32b1bc784cde92674c9caee5ef2632,,LLM_ONLY
Aetna,0650.pdf,14da958f7ce649c17cfeecee9e8e6580,,LLM_ONLY
Aetna,0358.pdf,4c36a47eab400cac1cacba4f84f825c4,,LLM_ONLY
Aetna,0140.pdf,e79eaf4083adfe69f59710272677007f,,LLM_ONLY
Aetna,0189.pdf,af2ed00ca87e45e11242016a403abc6f,,LLM_ONLY
Aetna,0227.pdf,0dfdb814da56c41283edcc99ab6b8acc,,LLM_ONLY
Aetna,0715.pdf,5a77149ae4f46d021be0be6388a4f4e0,,LLM_ONLY
