Case,Question,Predicted,Gold,Score
Case5,Q0,Whole Exome Sequencing (WES),Whole Exome Sequencing (WES),1
Case5,Q1,Yes,Yes,1
Case5,Q2,Yes,Yes,1
Case5,Q3,Yes,Yes,1
Case5,Q4,No,Yes,0
Case5,Q5,Yes,Yes,1
Case5,Q6,No,No,1
Case5,Q7,Yes,Yes,1
Case5,Q8,No,No,1
Case5,Q9,Yes,Yes,1
Case5,Q9_followup,Yes,Yes,1
Case5,Q10,No,No,1
Case5,Q10_followup,Diagnostic,Diagnostic,1
Case5,Q11,Yes,No,0
Case5,Q12,No,No,1
Case5,Q13,Not specified,Yes,0
Case5,Q14,Yes,Yes,1
Case5,Q14_followup,81415,81415,1
Case5,Q15,No,No,1
Case5,Q16,Yes,Yes,1
Case5,TOTAL,Correct: 17,Incorrect: 3,Accuracy: 85.00%
